rank	path	loc	coupling	severity	flagged
1	coordinator/coordinator.py	663	29	2113	YES
2	engine/core.py	1629	3	1779	YES
3	state/machine.py	938	15	1688	YES
4	computation_engine.py	685	13	1335	YES
5	state/reader.py	724	10	1224	YES
6	learning/orchestrator.py	266	14	966	YES
7	integration/controller.py	596	7	946	YES
8	learning/correlation.py	829	2	929	YES
9	engine/pattern_analyzer.py	650	5	900	YES
10	engine/slots.py	387	10	887	YES
11	engine/outcomes.py	614	5	864	YES
12	engine/parameters.py	555	6	855	YES
13	utils/validation.py	699	3	849	YES
14	engine/optimizer_runner.py	658	3	808	YES
15	engine/optimization_controller.py	455	7	805	YES
16	forecast/history.py	693	2	793	YES
17	engine/price_calculator.py	432	7	782	YES
18	engine/optimizer_facade.py	380	7	730	NO
19	engine/excess_solar.py	351	7	701	NO
20	coordinator/data.py	395	6	695	NO
21	services/notification_service.py	472	4	672	YES
22	engine/price_signal_engine.py	138	9	588	YES
23	engine/counterfactual.py	402	3	552	YES
24	sensors/forecast.py	301	5	551	NO
25	forecast/pipeline.py	229	6	529	NO
26	forecast/load.py	353	3	503	NO
27	engine/soc_simulator.py	201	6	501	NO
28	utils/entity_configs.py	397	2	497	NO
29	forecast/solar_accuracy.py	487	0	487	YES
30	config_flow/schemas.py	272	4	472	NO
31	services/evaluation_dispatcher.py	158	6	458	NO
32	engine/spike_analyzer.py	120	6	420	NO
33	const.py	382	0	382	NO
34	engine/slot_schedule.py	320	1	370	NO
35	engine/excess_solar_signals.py	167	4	367	NO
36	engine/weather_diagnostics.py	64	6	364	NO
37	forecast/accuracy.py	251	2	351	NO
38	engine/constraints.py	181	3	331	NO
39	forecast/bootstrapper.py	131	4	331	NO
40	select.py	220	2	320	NO
41	forecast/solar.py	309	0	309	NO
42	engine/types.py	308	0	308	NO
43	forecast/load_deviation.py	206	2	306	NO
44	binary_sensor.py	205	2	305	NO
45	sensors/status.py	250	1	300	NO
46	engine/optimizer_dp.py	46	5	296	NO
47	state/validator.py	286	0	286	NO
48	forecast/solar_events.py	283	0	283	NO
49	integration/client.py	183	2	283	NO
50	forecast/history_store.py	160	2	260	NO
51	sensor.py	145	2	245	NO
52	forecast/accuracy_store.py	90	3	240	NO
53	engine/utils.py	188	1	238	NO
54	switch.py	116	2	216	NO
55	pricing/provider.py	162	1	212	NO
56	button.py	102	2	202	NO
57	number.py	95	2	195	NO
58	engine/pattern_types.py	192	0	192	NO
59	sensors/base.py	42	3	192	NO
60	config_flow/validators.py	87	2	187	NO
61	engine/cost.py	122	1	172	NO
62	engine/dp_math.py	106	1	156	NO
63	sensors/optimizer.py	99	1	149	NO
64	sensors/learning.py	97	1	147	NO
65	state/mode_configs.py	35	2	135	NO
66	utils/costs.py	35	2	135	NO
67	services/subscription_manager.py	126	0	126	NO
68	sensors/misc.py	66	1	116	NO
69	sensors/pricing.py	57	1	107	NO
70	forecast/corrections.py	80	0	80	NO
71	sensors/load_deviation.py	16	1	66	NO
72	sensors/cloud_event.py	15	1	65	NO
73	pricing/types.py	30	0	30	NO
